SOC;Temp;R_Ch(T=293,15);R_Ch(T=298,15);R_Ch(T=303,15);R_DCh(T=293,15);R_DCh(298,15);R_DCh(303,15)
0,1;293,15;0,06724592592592593;0,056165925925925925;0,04636592592592592;0,07044592592592594;0,057165925925925926;0,049365925925925924
0,3;298,15;0,04912592592592592;0,04156592592592592;0,03624592592592592;0,047605925925925933;0,041005925925925925;0,03704592592592593
0,5;303,15;0,047125925925925925;0,04056592592592593;0,03548592592592593;0,042845925925925926;0,03816592592592593;0,03312592592592592
0,7;;0,04656592592592591;0,040125925925925926;0,03992592592592592;0,04604592592592592;0,03856592592592592;0,03168592592592593
0,9;;0,06260592592592593;0,05552592592592592;0,04976592592592592;0,05434992592592592;0,048685925925925924;0,04240592592592592
