Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Incoming Material Properties,IncProp,vol_flow,Incoming volume,1000,L/yr,,,,,,,,
PFAS Concentration,IncPFAS,Summed PFAS,Incoming Summed PFAS concentration,30,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFOA,Incoming PFOA concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFOS,Incoming PFOS concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#4,Incoming PFAS#4 concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#5,Incoming PFAS#5 concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#6,Incoming PFAS#6 concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#7,Incoming PFAS#7 concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#8,Incoming PFAS#8 concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#9,Incoming PFAS#9 concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#10,Incoming PFAS#10 concentration,0,10e-6g/L,,,,,,,,
Total destruction and removal efficiency,DRE,Summed PFAS,DRE of Summed PFAS,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFOA,DRE of PFOA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFOS,DRE of PFOS,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#4,DRE of PFAS#4,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#5,DRE of PFAS#5,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#6,DRE of PFAS#6,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#7,DRE of PFAS#7,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#8,DRE of PFAS#8,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#9,DRE of PFAS#9,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#10,DRE of PFAS#10,0.99,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_steam,Fraction of incoming water to steam,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_slurry,Fraction of incoming water to slurry,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_steam,Fraction of destroyed and removed that remains in steam,0,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_slurry,Fraction of destroyed and removed that remains in slurry,0,fraction,,,,,,,,
