Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Incoming Material Properties,IncProp,mass_flow,Total mass - wet weight,1000,kg/yr,,,,,,,,
Incoming Material Properties,IncProp,bulk_dens,Bulk density - wet,400,kg/m3,,,,,,,,
Incoming Material Properties,IncProp,ts_cont,Total solids content - wet,0.3,fraction wet weight,,,,,,,,
Incoming Material Properties,IncProp,C_cont,Organic C content - dry,0.5,fraction TS,,,,,,,,
PFAS Concentration,IncPFAS,PFAS,PFAS concentration,30,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFOA,PFOA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFNA,PFNA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFDA,PFDA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFUnA,PFUnA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFOS,PFOS concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFDS,PFDS concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,N_MeFOSAA,N_MeFOSAA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,N_EtFOSAA,N_EtFOSAA concentration,0,10e-6g/kg,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFNA,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFDA,Log partition coefficient,2.92,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFUnA,Log partition coefficient,3.47,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOS,Log partition coefficient,2.68,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFDS,Log partition coefficient,3.66,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,N_MeFOSAA,Log partition coefficient,3.35,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,N_EtFOSAA,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Amendment Material Properties,AmndProp,mass_ratio,Mass of amendment to mass of feedstock,0.2,kg/kg,,,,,,,,
Amendment Material Properties,AmndProp,ts_cont,Total solids content - wet,0.95,fraction wet weight,,,,,,,,
Amendment Material Properties,AmndProp,C_cont,Organic C content - dry,0.6,fraction TS,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFAS,PFAS concentration - dry mass,0,mg/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFOA,PFOA concentration - dry mass,0,mg/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFNA,PFNA concentration - dry mass,0,mg/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFDA,PFDA concentration - dry mass,0,mg/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFUnA,PFUnA concentration - dry mass,0,mg/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFOS,PFOS concentration - dry mass,0,mg/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFDS,PFDS concentration - dry mass,0,mg/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,N_MeFOSAA,N_MeFOSAA concentration - dry mass,0,mg/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,N_EtFOSAA,N_EtFOSAA concentration - dry mass,0,mg/kg,,,,,,,,
Active composting Input,AComp,is_covered,Is active composting covered?,0,"1:TRUE,0:FALSE",,,,,,,,
Active composting Input,AComp,bulk_dens,Bulk density of initial active compost,400,kg/m3,,,,,,,,
Active composting Input,AComp,wind_ht,Windrow height,2,m,,,,,,,,
Active composting Input,AComp,wind_wid,Windrow width,3,m,,,,,,,,
Active composting Input,AComp,frac_C_lost,Fraction of organic C lost during active composting,0.4,fraction C,,,,,,,,
Active composting Input,AComp,ts_end,Solids content at the end of active composting - wet,0.5,fraction wet weight,,,,,,,,
Active composting Input,AComp,sol_loss_per_C_loss,Solids loss per C loss,2,kg/kg,,,,,,,,
Active composting Input,AComp,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Active composting Input,AComp,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
Active composting Input,AComp,is_cw_col,Is contact water collected,1,"1:TRUE,0:FALSE",,,,,,,,
Active composting Input,AComp,frac_cw_col,Fraction contact water collection,0.98,fraction,,,,,,,,
Curing Input,Curing,frac_C_lost,Fraction of organic C lost during curing,0.5,fraction C,,,,,,,,
Curing Input,Curing,ts_end,Solids content at the end of curing,0.5,fraction ts,,,,,,,,
Curing Input,Curing,bulk_dens,Bulk density of curing pile,400,kg/m3,,,,,,,,
Curing Input,Curing,wind_ht,Curing windrow height,4,m,,,,,,,,
Curing Input,Curing,wind_wid,Curing windrow width,6,m,,,,,,,,
Curing Input,Curing,sol_loss_per_C_loss,Solids loss per C loss,2,kg/kg,,,,,,,,
Curing Input,Curing,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Curing Input,Curing,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
Percipication Data,Percip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
