Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Incoming Material Properties,IncProp,vol_flow,Incoming volume,1000,L/yr,,,,,,,,
PFAS Concentration,IncPFAS,PFAS,Incoming PFAS concentration,30,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFOA,Incoming PFOA concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFNA,Incoming PFNA concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFDA,Incoming PFDA concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFUnA,Incoming PFUnA concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFOS,Incoming PFOS concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,PFDS,Incoming PFDS concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,N_MeFOSAA,Incoming N_MeFOSAA concentration,0,10e-6g/L,,,,,,,,
PFAS Concentration,IncPFAS,N_EtFOSAA,Incoming N_EtFOSAA concentration,0,10e-6g/L,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS,DRE of PFAS ,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFOA,DRE of PFOA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFNA,DRE of PFNA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFDA,DRE of PFDA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFUnA,DRE of PFUnA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFOS,DRE of PFOS,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFDS,DRE of PFDS,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,N_MeFOSAA,DRE of N_MeFOSAA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,N_EtFOSAA,DRE of N_EtFOSAA,0.99,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_steam,Fraction of incoming water to steam,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_slurry,Fraction of incoming water to slurry,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_steam,Fraction of destroyed and removed that remains in steam,0,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_slurry,Fraction of destroyed and removed that remains in slurry,0,fraction,,,,,,,,
