Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Compost Feedstocks,CompFeed,bulk_dens,Incoming bulk density - wet,400,kg/m3,,,,,,,,
Compost Feedstocks,CompFeed,ts_cont,Incoming total solids content - wet,0.3,fraction wet weight,,,,,,,,
Compost Feedstocks,CompFeed,VS_cont,Incoming VS content - dry,0.95,kg VS/kg TS,,,,,,,,
Compost Feedstocks,CompFeed,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFAS,Incoming PFAS concentration - dry mass,30,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFOA,Incoming PFOA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFNA,Incoming PFNA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFDA,Incoming PFDA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFUnA,Incoming PFUnA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFOS,Incoming PFOS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFDS,Incoming PFDS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,N_MeFOSAA,Incoming N_MeFOSAA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,N_EtFOSAA,Incoming N_EtFOSAA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Final Product,CompFin,bulk_dens,Incoming bulk density - wet,400,kg/m3,,,,,,,,
Compost Final Product,CompFin,ts_cont,Incoming total solids content - wet,0.3,fraction wet weight,,,,,,,,
Compost Final Product,CompFin,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFAS,Incoming PFAS concentration - dry mass,30,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFOA,Incoming PFOA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFNA,Incoming PFNA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFDA,Incoming PFDA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFUnA,Incoming PFUnA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFOS,Incoming PFOS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFDS,Incoming PFDS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,N_MeFOSAA,Incoming N_MeFOSAA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,N_EtFOSAA,Incoming N_EtFOSAA concentration - dry mass,0,10e-6g/kg,,,,,,,,
MSW,MSW,mass_flow,Incoming mass - wet weight,1000,kg/yr,,,,,,,,
MSW,MSW,bulk_dens,Incoming bulk density - wet,1000,kg/m3,,,,,,,,
MSW,MSW,ts_cont,Incoming total solids content - wet,0.95,fraction wet weight,,,,,,,,
MSW,MSW,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFAS,Incoming PFAS concentration - dry mass,30,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFOA,Incoming PFOA concentration - dry mass,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFNA,Incoming PFNA concentration - dry mass,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFDA,Incoming PFDA concentration - dry mass,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFUnA,Incoming PFUnA concentration - dry mass,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFOS,Incoming PFOS concentration - dry mass,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFDS,Incoming PFDS concentration - dry mass,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,N_MeFOSAA,Incoming N_MeFOSAA concentration - dry mass,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,N_EtFOSAA,Incoming N_EtFOSAA concentration - dry mass,0,10e-6g/kg,,,,,,,,
