       0        6        9       15
       4       27       45       50
       8       46       71       97
      12       26       69       83
      16       22       25       31
      20       11       34       61
      24       62       87      113
      28       10       67       85
      64       70       73       79
      68       91      109      114
      72        7       33      110
      76        5       19       90
      80       86       89       95
      84       75       98      125
      88       23       49      126
      92        3       21       74
      32       38       41       47
      36       13       18       59
      40       14       65      103
      44       58      101      115
      48       54       57       63
      52        2       29       43
      56       30       81      119
      60       42       99      117
      96      102      105      111
     100       77       82      123
     104        1       39       78
     108       37       51      122
     112      118      121      127
     116       66       93      107
     120       17       55       94
     124       35       53      106
