COSMIC_ID,master_cell_id,model_id,SEEDING_DENSITY,GROWTH_RATE,DOUBLING_TIME,DAY4DAY1RATIO,tissue,cancer_type,model_type,growth_properties
905975,586,SIDM00003,300,1.0966827400384118,45.727292501465065,3.0699799465247586,Skin,Melanoma,Cell Line,Unknown
946356,1611,SIDM00023,75,0.9537819980858143,51.28387134818434,2.646251481635886,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown
1299069,547,SIDM00040,300,1.3303406372323905,36.91088486498504,3.8654707088980778,Stomach,Gastric Carcinoma,Cell Line,Unknown
1299061,1747,SIDM00041,325,1.0533378308610362,46.19489875647578,2.945706423949833,Stomach,Gastric Carcinoma,Cell Line,Unknown
1298533,470,SIDM00042,150,0.9098483678997245,55.625825451448065,2.6064741534536884,Pancreas,Pancreatic Carcinoma,Cell Line,Unknown
1298531,1068,SIDM00043,250,1.0467217304102603,46.73011790817855,2.9094817880144186,Head and Neck,Head and Neck Carcinoma,Cell Line,Unknown
1298529,1042,SIDM00044,325,0.82122022167912,62.03047817701242,2.348084488032862,Head and Neck,Head and Neck Carcinoma,Cell Line,Unknown
1322224,1991,SIDM00045,325,1.9977678744098957,24.854153874773942,7.552195356642657,Stomach,Gastric Carcinoma,Cell Line,Unknown
1247873,1992,SIDM00046,300,0.48192983706549614,129.83557473148616,1.7491054140519038,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Unknown
1503370,2232,SIDM00047,300,0.7086099938739138,79.25421677277185,2.1726793785181595,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Unknown
1503369,967,SIDM00048,500,0.5475316490367402,86.69116323828442,1.7783440667444228,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Unknown
1789883,1625,SIDM00049,300,0.7535216357822202,84.08243665263413,2.3205423617335184,Large Intestine,Colorectal Carcinoma,Cell Line,Unknown
1290768,280,SIDM00050,400,-0.04605577273584289,-2753.2963733188562,0.982037164119683,Bone,Chondrosarcoma,Cell Line,Unknown
1290767,1466,SIDM00051,325,0.5859751037198025,85.37799720594533,1.8871746315717697,Bone,Chondrosarcoma,Cell Line,Unknown
753559,2077,SIDM00052,450,0.6138017697352328,78.70198790450398,1.8853645066503422,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown
753595,1486,SIDM00053,625,0.6465713744490807,105.66391791242461,2.033974988582534,Pancreas,Pancreatic Carcinoma,Cell Line,Unknown
1240208,1759,SIDM00054,400,1.1968342375850813,41.43635401348043,3.386824344443729,Pancreas,Pancreatic Carcinoma,Cell Line,Unknown
1287381,220,SIDM00055,250,1.2005537058290479,51.49848520689555,3.8475447234589364,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Unknown
924238,365,SIDM00056,100,1.7756063868437086,28.805926193703527,6.280799648570942,Thyroid,Thyroid Gland Carcinoma,Cell Line,Unknown
907057,311,SIDM00064,200,0.9277242648116113,63.1033291965291,2.786338767504389,Liver,Hepatocellular Carcinoma,Cell Line,Unknown
1290724,1676,SIDM00077,300,0.908398124306608,54.0659755211777,2.5348726526493004,Head and Neck,Oral Cavity Carcinoma,Cell Line,Adherent
1290725,940,SIDM00078,625,1.1919228274236378,40.990648476563855,3.378770109986119,Head and Neck,Oral Cavity Carcinoma,Cell Line,Adherent
905959,1166,SIDM00079,400,0.7991727567422199,63.887065192705904,2.3148523797744494,Ovary,Ovarian Carcinoma,Cell Line,Adherent
905956,1491,SIDM00080,450,0.5749075969057447,168.04209967874695,1.9962800147074866,Skin,Melanoma,Cell Line,Adherent
905954,1499,SIDM00081,100,0.9782554993498039,51.60437764251095,2.773196133292555,Skin,Melanoma,Cell Line,Adherent
905955,1191,SIDM00082,500,0.027409708362574073,842.7482102241489,1.083250129575229,Skin,Melanoma,Cell Line,Adherent
905984,1781,SIDM00083,150,1.3605800424859904,36.93725233269767,4.081694038355095,Central Nervous System,Glioblastoma,Cell Line,Unknown
905985,1164,SIDM00084,150,0.9732608185974175,50.48194400911214,2.7516104385088904,Central Nervous System,Glioblastoma,Cell Line,Unknown
905986,1490,SIDM00085,300,1.1370454096165077,44.89345696845508,3.2695226977780347,Central Nervous System,Glioma,Cell Line,Unknown
905978,1526,SIDM00086,300,0.5147350680577629,91.17656224715323,1.728686940710751,Kidney,Kidney Carcinoma,Cell Line,Unknown
905964,705,SIDM00087,800,0.9193079079934018,54.6932924242389,2.6033469978077703,Haematopoietic and Lymphoid,Plasma Cell Myeloma,Cell Line,Suspension
905934,911,SIDM00088,325,0.7206091760351566,71.2422104644692,2.1356759492809876,Prostate,Prostate Carcinoma,Cell Line,Adherent
905991,2131,SIDM00090,200,1.3816462523697581,36.23290284388847,4.149577263748198,Ovary,Ovarian Carcinoma,Cell Line,Unknown
905969,1858,SIDM00091,300,1.234273511837892,42.05177925579473,3.683487631663874,Ovary,Ovarian Carcinoma,Cell Line,Unknown
905990,606,SIDM00092,625,0.5884455869719697,84.44388025056001,1.854748509502186,Ovary,Ovarian Carcinoma,Cell Line,Unknown
905979,156,SIDM00094,625,0.3217769132159585,178.68305229324113,1.429063437724348,Kidney,Kidney Carcinoma,Cell Line,Adherent
905982,1181,SIDM00095,250,0.4286317601176258,109.9585379162374,1.574389238071207,Central Nervous System,Glioblastoma,Cell Line,Unknown
