region_url,villes_url,region,villes,"coordinates (lat,lon)"
alsace,"['strasbourg', 'colmar', 'haguenau', 'mulhouse', 'selestat', 'niederbronn-les-bains', 'obernai', 'ribeauville', 'schiltigheim', 'altkirch', 'bischwiller', 'cernay', 'guebwiller', 'ingwiller', 'lembach', 'munster', 'saint-louis', 'saverne', 'soufflenheim', 'wissembourg']",Alsace,"['strasbourg', 'colmar', 'haguenau', 'mulhouse', 'sélestat', 'niederbronn-les-bains', 'obernai', 'ribeauvillé', 'schiltigheim', 'altkirch', 'bischwiller', 'cernay', 'guebwiller', 'ingwiller', 'lembach', 'munster', 'saint-louis', 'saverne', 'soufflenheim', 'wissembourg']","[(48.584614, 7.7507127), (48.0777517, 7.3579641), (48.8172236, 7.7885978), (47.7467, 7.3389275), (48.2594396, 7.454217), (48.9510314, 7.6421767), (48.4623358, 7.4817123), (48.1924602, 7.3248871), (48.6047148, 7.7484488), (47.6238204, 7.2401542), (48.7682281, 7.8597466), (49.0211111, 0.325), (47.9094629, 7.2113271), (48.8718112, 7.4798581), (49.0036278, 7.7899564), (51.9625101, 7.6251879), (38.6268039, -90.1994097), (48.7419909, 7.3625953), (48.8306043, 7.9636887), (49.0365935, 7.9445109)]"
aquitaine,"['bordeaux', 'bayonne', 'biarritz', 'pau-bearn', 'sarlat', 'arcachon', 'anglet', 'bergerac', 'bidart', 'biscarrosse', 'cambo-les-bains', 'cap-ferret', 'capbreton', 'dax', 'hendaye', 'hossegor', 'lacanau', 'mont-de-marsan-landes', 'marmande', 'merignac', 'mimizan', 'mios', 'mont-de-marsan', 'orthez', 'perigord-dordogne', 'perigueux', 'pessac', 'saint-jean-de-luz', 'salies-de-bearn', 'seignosse', 'soulac', 'talence', 'villeneuve-sur-lot', 'andernos-les-bains', 'audenge', 'bazas', 'biganos', 'blaye', 'boucau', 'carcans', 'casteljaloux', 'coutras', 'fumel', 'guethary', 'gujan-mestras', 'hagetmau', 'hasparren', 'hourtin', 'la-reole', 'la-teste-de-buch', 'lanton', 'laruns', 'le-barp', 'le-porge', 'le-teich', 'lesparre-medoc', 'libourne', 'montpon-menesterol', 'morcenx', 'nerac', 'oloron-sainte-marie', 'parentis-en-born', 'pauillac', 'pontenx-les-forges', 'riberac', 'saint-estephe', 'saint-jean-pied-de-port', 'saint-martin-de-seignanx', 'saint-pee-sur-nivelle', 'saint-sever', 'sanguinet', 'soustons', 'tarnos', 'terrasson-lavilledieu', 'tonneins', 'vielle-saint-girons', 'vieux-boucau-les-bains']",Aquitaine,"['bordeaux', 'bayonne', 'biarritz', 'pau', 'sarlat', 'arcachon', 'anglet', 'bergerac', 'bidart', 'biscarrosse', 'cambo-les-bains', 'le-cap-ferret', 'capbreton', 'dax', 'hendaye', 'hossegor', 'lacanau', 'les-landes', 'marmande', 'mérignac', 'mimizan', 'mios', 'mont-de-marsan', 'orthez', 'périgord---dordogne', 'périgueux', 'pessac', 'saint-jean-de-luz', 'salies-de-bearn', 'seignosse', 'soulac', 'talence', 'villeneuve-sur-lot', 'andernos-les-bains', 'audenge', 'bazas', 'biganos', 'blaye', 'boucau', 'carcans', 'casteljaloux', 'coutras', 'fumel', 'guethary', 'gujan-mestras', 'hagetmau', 'hasparren', 'hourtin', 'la-reole', 'la-teste-de-buch', 'lanton', 'laruns', 'le-barp', 'le-porge', 'le-teich', 'lesparre-médoc', 'libourne', 'montpon-menesterol', 'morcenx', 'nérac', 'oloron-sainte-marie', 'parentis-en-born', 'pauillac', 'pontenx-les-forges', 'riberac', 'saint-estephe', 'saint-jean-pied-de-port', 'saint-martin-de-seignanx', 'saint-pée-sur-nivelle', 'saint-sever', 'sanguinet', 'soustons', 'tarnos', 'terrasson-lavilledieu', 'tonneins', 'vielle-saint-girons', 'vieux-boucau-les-bains']","[(44.841225, -0.5800364), (43.4933379, -1.475099), (43.471143749999996, -1.552726590666314), (43.2957547, -0.3685668), (44.8879431, 1.2161321), (44.6539428, -1.1755714), (43.4813927, -1.5149935), (44.8534568, 0.487531), (43.4391702, -1.5898909), (44.3907065, -1.1609361), (43.3609139, -1.3994687), (44.6308885, -1.249812), (43.6416748, -1.4327968), (43.7080596, -1.0533076), (43.3641518, -1.7616499), (42.6722942, 3.0305966), (44.9776088, -1.0784851), (46.1014333, 6.7549952), (44.5007939, 0.164274), (44.8422361, -0.6469599), (44.2019796, -1.2309278), (44.6045208, -0.9349464), (43.8911318, -0.500972), (43.4874963, -0.7738363), (45.5449404, 1.0413194), (45.1909365, 0.7184407), (44.805615, -0.6308396), (43.3870763, -1.6635695), (43.4703515, -0.9234025), (43.68866, -1.37328), (44.8206636, 0.0526303), (44.8088438, -0.5879629), (44.4056615, 0.7046455), (44.7476897, -1.0925184), (44.6883648, -1.0198568), (44.4320456, -0.2126009), (44.6440908, -0.9696271), (45.1271231, -0.6635964), (43.5236127, -1.4857538), (45.0796259, -1.0439593), (44.3135784, 0.0882703), (45.0409876, -0.1286261), (44.4966624, 0.9684626), (43.423001, -1.6062693), (44.6338602, -1.0845304), (43.65506, -0.59393), (43.38388, -1.3049538), (45.1861565, -1.0575334), (44.5821161, -0.0350566), (44.6316943, -1.1491319), (44.7035574, -1.0360314), (42.9882368, -0.4266324), (44.6063662, -0.7697752), (44.8727944, -1.0927165), (44.6307705, -1.0260126), (45.3081854, -0.9379402), (44.9133742, -0.2427217), (45.01624955, 0.15672815508290233), (44.0323042, -0.9113736), (44.1353979, 0.3392503), (43.1922408, -0.6115586), (44.3508886, -1.0691145), (45.1995626, -0.7484994), (44.240034, -1.1209313), (45.2478033, 0.3398094), (45.5925, 0.6633333), (43.1629528, -1.2380528), (43.5415353, -1.3870972), (43.3557594, -1.5504787), (43.757456, -0.574187), (44.4834776, -1.0759377), (43.75079, -1.32955), (43.5405622, -1.4611915), (45.1292139, 1.3018796), (44.3905556, 0.3091667), (43.9444643, -1.322353203579857), (43.7854047, -1.4044029)]"
ardeche,"['privas', 'annonay', 'vallon-pont-darc', 'vals-les-bains', 'vog-e', 'balazuc', 'orgnac-laven', 'parc-naturel-regional-des-monts-dardeche', 'tournon-sur-rh-ne', 'viviers', 'aubenas']",Ardèche,"['privas', 'annonay', ""vallon-pont-d'arc"", 'vals-les-bains', 'vogüé', 'balazuc', ""orgnac-l'aven"", ""le-parc-naturel-régional-des-monts-d'ardèche"", 'tournon-sur-rhône', 'viviers', 'aubenas']","[(44.7352708, 4.5986733), (45.2399639, 4.6675475), (44.4048, 4.39289), (44.6553304, 4.365739), (44.5497298, 4.4156504), (44.5092291, 4.3728494), (44.3055791, 4.4333406), (44.689066249999996, 4.298026818277805), (45.0675156, 4.832852), (48.8912366, 6.4343826), (44.6205476, 4.3902399)]"
auvergne,"['clermont-ferrand', 'aurillac', 'moulins-allier', 'puy-en-velay-haute-loire', 'vichy', 'besse-et-saint-anastaise', 'issoire', 'mont-dore', 'montlucon', 'saint-nectaire', 'ambert', 'aurec-sur-loire', 'brioude', 'brives-charensac', 'commentry', 'cournon-dauvergne', 'courpiere', 'gannat', 'langeac', 'lapalisse', 'lurcy-levis', 'mauriac', 'maurs', 'monistrol-sur-loire', 'riom', 'riom-es-montagnes', 'saint-eloy-les-mines', 'saint-flour', 'saint-just-malmont', 'saint-pourcain-sur-sioule', 'sainte-sigolene', 'saugues', 'thiers', 'vallon-en-sully', 'varennes-sur-allier', 'yssingeaux']",Auvergne,"['clermont-ferrand', 'aurillac', 'moulins', 'le-puy-en-velay', 'vichy', 'besse-et-saint-anastaise', 'issoire', 'mont-dore', 'montluçon', 'saint-nectaire', 'ambert', 'aurec-sur-loire', 'brioude', 'brives-charensac', 'commentry', ""cournon-d'auvergne"", 'courpiere', 'gannat', 'langeac', 'lapalisse', 'lurcy-levis', 'mauriac', 'maurs', 'monistrol-sur-loire', 'riom', 'riom-es-montagnes', 'saint-eloy-les-mines', 'saint-flour', 'saint-just-malmont', 'saint-pourcain-sur-sioule', 'sainte-sigolène', 'saugues', 'thiers', 'vallon-en-sully', 'varennes-sur-allier', 'yssingeaux']","[(45.7774551, 3.0819427), (44.9285441, 2.4433101), (49.4217, 3.6847), (45.0459739, 3.8855537), (46.1239268, 3.4203712), (45.5115738, 2.9329614), (45.5432973, 3.2502213), (45.5749966, 2.8094117), (46.3399276, 2.6067229), (45.5885273, 2.9924563), (45.5504338, 3.742639), (45.3698465, 4.2008542), (45.2952895, 3.3843304), (45.0474, 3.92197), (46.290103, 2.74398), (45.739114, 3.1961893), (45.7559617, 3.5325463), (46.0996068, 3.1995251), (45.1001248, 3.4941798), (46.2488636, 3.6324006), (46.732376, 2.9378711), (44.7450537, -0.0289804), (44.7101307, 2.198675), (45.2926341, 4.1727546), (45.893068, 3.1136667), (45.2832492, 2.6594544), (46.1611691, 2.8345577), (45.7084425, 3.5026164), (45.3397467, 4.3134369), (46.3074423, 3.2899107), (45.2424978, 4.2360263), (44.959244, 3.5446108), (45.855795, 3.5489707), (46.5375, 2.60656), (46.3127469, 3.4033756), (45.1435556, 4.1244363)]"
bourgogne,"['dijon', 'auxerre', 'macon', 'nevers-nievre', 'beaune', 'chablis', 'tonnerre', 'vezelay', 'autun', 'auxonne', 'avallon', 'bourbon-lancy', 'chagny', 'chalon-sur-sa-ne', 'champigny', 'chateau-chinonville', 'ch-tillon-sur-seine', 'clamecy', 'cluny', 'corbigny', 'cosne-cours-sur-loire', 'decize', 'joigny', 'la-charite-sur-loire', 'le-creusot', 'montbard', 'montceau-les-mines', 'nuits-saint-georges', 'semur-en-auxois', 'sens']",Bourgogne,"['dijon', 'auxerre', 'macon', 'nevers', 'beaune', 'chablis', 'tonnerre', 'vézelay', 'autun', 'auxonne', 'avallon', 'bourbon-lancy', 'chagny', 'chalon-sur-saône', 'champigny', 'chateau-chinon', 'châtillon-sur-seine', 'clamecy', 'cluny', 'corbigny', 'cosne-cours-sur-loire', 'decize', 'joigny', 'la-charité-sur-loire', 'le-creusot', 'montbard', 'montceau-les-mines', 'nuits-saint-georges', 'semur-en-auxois', 'sens']","[(47.3215806, 5.0414701), (47.7961287, 3.570579), (46.3036683, 4.8322266), (46.9876601, 3.1577203), (47.0239064, 4.8380426), (47.8152073, 3.8001657), (47.8564662, 3.9733033), (47.4651584, 3.7470627), (46.9510313, 4.2989478), (47.1918055, 5.3896795), (47.4885365, 3.9070658), (46.6193905, 3.7737674), (46.910578, 4.7523461), (46.7888997, 4.8529605), (49.2683007, 3.9671604), (47.0643977, 3.9330028), (47.8607467, 4.5749139), (49.4286111, 3.3619444), (46.4339138, 4.6575708), (47.2574315, 3.6843003), (47.4115613, 2.9273937), (46.8284259, 3.4616097), (47.9812486, 3.3995767), (47.1793255, 3.0185784), (46.8054064, 4.4285961), (47.6241674, 4.3373194), (46.6740455, 4.3631681), (47.134979, 4.9540989), (47.4902149, 4.3328705), (48.1978559, 3.282606)]"
bretagne,"['rennes', 'brest', 'saint-brieuc-cotes-darmor', 'saint-malo', 'vannes', 'belle-ile-en-mer', 'benodet', 'carnac', 'concarneau', 'dinan', 'dinard', 'douarnenez', 'erquy', 'fouesnant', 'ile-de-molene', 'ile-de-sein', 'ile-de-brehat', 'la-presquile-de-quiberon', 'lannion', 'lorient', 'morlaix', 'paimpol', 'perros-guirec', 'quimper', 'roscoff', 'auray', 'bain-de-bretagne', 'baud', 'binic', 'camaret-sur-mer', 'cancale', 'carhaix-plouguer', 'ch-teaubourg', 'ch-teaulin', 'combourg', 'crozon', 'dol-de-bretagne', 'fougeres', 'gourin', 'groix', 'guer', 'guilvinec', 'guingamp', 'hede-bazouges', 'janze', 'la-gacilly', 'la-guerche-de-bretagne', 'lamballe', 'landerneau', 'lanester', 'larmor-plage', 'lesneven', 'locmine', 'locquemeau', 'locquirec', 'loctudy', 'louannec', 'loudeac', 'moelan-sur-mer', 'montauban-de-bretagne', 'mur-de-bretagne', 'muzillac', 'paimpont', 'pleneuf-val-andre', 'plerin', 'ploemeur', 'ploermel', 'plogoff', 'plouay', 'ploudalmezeau', 'plouescat', 'plougasnou', 'plougastel-daoulas', 'plougrescant', 'plouguerneau', 'plouhinec', 'plouzane', 'pontivy', 'pordic', 'questembert', 'quimperle', 'redon', 'rostrenen', 'saint-andre-des-eaux', 'saint-cast-le-guildo', 'saint-lunaire', 'saint-meen-le-grand', 'saint-pol-de-leon', 'saint-quay-portrieux', 'sarzeau', 'trebeurden', 'tregastel', 'vitre']",Bretagne,"['rennes', 'brest', 'saint-brieuc', 'saint-malo', 'vannes', 'belle-île-en-mer', 'bénodet', 'carnac', 'concarneau', 'dinan', 'dinard', 'douarnenez', 'erquy', 'fouesnant', ""l'île-de-molène"", ""l'île-de-sein"", ""l'île-de-bréhat"", ""la-presqu'île-de-quiberon"", 'lannion', 'lorient', 'morlaix', 'paimpol', 'perros-guirec', 'quimper', 'roscoff', 'auray', 'bain-de-bretagne', 'baud', 'binic', 'camaret-sur-mer', 'cancale', 'carhaix-plouguer', 'châteaubourg', 'châteaulin', 'combourg', 'crozon', 'dol-de-bretagne', 'fougères', 'gourin', 'groix', 'guer', 'guilvinec', 'guingamp', 'hédé-bazouges', 'janzé', 'la-gacilly', 'la-guerche-de-bretagne', 'lamballe', 'landerneau', 'lanester', 'larmor-plage', 'lesneven', 'locminé', 'locquemeau', 'locquirec', 'loctudy', 'louannec', 'loudéac', 'moëlan-sur-mer', 'montauban-de-bretagne', 'mûr-de-bretagne', 'muzillac', 'paimpont', 'pléneuf-val-andré', 'plérin', 'ploemeur', 'ploërmel', 'plogoff', 'plouay', 'ploudalmézeau', 'plouescat', 'plougasnou', 'plougastel-daoulas', 'plougrescant', 'plouguerneau', 'plouhinec', 'plouzane', 'pontivy', 'pordic', 'questembert', 'quimperlé', 'redon', 'rostrenen', 'saint-andré-des-eaux', 'saint-cast-le-guildo', 'saint-lunaire', 'saint-méen-le-grand', 'saint-pol-de-léon', 'saint-quay-portrieux', 'sarzeau', 'trébeurden', 'tregastel', 'vitré']","[(48.1113387, -1.6800198), (48.3905283, -4.4860088), (48.5141594, -2.7602707), (48.6454528, -2.015418), (47.6586772, -2.7599079), (47.33398075, -3.1974581958864934), (47.8746373, -4.1109828), (47.5836629, -3.0794428), (47.8757017, -3.9223889), (48.4539775, -2.047687), (48.6320379, -2.0580178), (48.0944459, -4.3311243), (48.6286582, -2.4642309), (47.8945402, -4.0115365), (47.2666778, -1.4737789), (48.043574199999995, -4.866879347131148), (48.8484341, -2.9988384), (47.506321650000004, -3.1350182305566436), (48.7322183, -3.4587994), (47.7477336, -3.3660907), (48.5824932, -3.8331972), (48.7794818, -3.0484022), (48.8151133, -3.4394662), (47.9960325, -4.1024782), (48.7256346, -3.9829033), (47.6664485, -2.9833718), (47.8414377, -1.6852229), (47.8758768, -3.0199362), (48.6007887, -2.8248754), (48.2772747, -4.5968963), (48.6771721, -1.8506953), (48.2764997, -3.5711477), (48.1108554, -1.3982411), (48.1968026, -4.0916875), (48.4104391, -1.7500622), (48.2463989, -4.4894463), (48.5489772, -1.7521005), (48.3503362, -1.1958526), (48.1385797, -3.6042254), (47.636874500000005, -3.460825625514793), (47.9036655, -2.1221276), (47.7952863, -4.283314), (48.5618483, -3.1502007), (48.2958022, -1.8022682), (47.9556915, -1.495366), (47.772628850000004, -2.1519418829005823), (47.9426332, -1.231454), (48.46244615, -2.516502292079859), (48.4514803, -4.2557901), (47.7639726, -3.3444489), (47.7147553, -3.376302), (48.5718493, -4.3235917), (47.8874274, -2.8362402), (48.7230989, -3.5634145), (48.68943, -3.6540861), (47.8316473, -4.1750385), (48.7939968, -3.4119987), (48.1762534, -2.7535644), (47.8133996, -3.6309833), (48.1998838, -2.0462319), (48.1960984, -2.9826182529094267), (47.5553035, -2.4842784), (48.0193594, -2.1735324), (48.5839267, -2.535957), (48.5348817, -2.7695752), (47.8411013, -4.2835502), (47.9323786, -2.39808), (48.0377367, -4.6662622), (47.9181255, -3.3470319507258073), (48.5410278, -4.6576826), (48.6572057, -4.1743159), (48.6959132, -3.7922304), (48.3742317, -4.369679), (48.8412155, -3.2284425), (48.6063358, -4.506818), (48.0117017, -4.489855009336425), (48.3817165, -4.6212044), (48.0647729, -2.9675702), (48.56955725, -2.8189686278528208), (47.6604074, -2.4527138), (47.8692383, -3.5512386), (47.6510682, -2.0842143), (48.237574, -3.316142), (48.3711691, -2.0087518), (48.607686900000004, -2.2501856094203374), (48.6354993, -2.1090269), (48.1894709, -2.1911338), (48.6849601, -3.9868641), (48.6521014, -2.8306322), (47.5287694, -2.7641997), (48.7694756, -3.5626633), (48.8267628, -3.5112796), (48.1244503, -1.214331)]"
centre,"['orleans', 'blois', 'bourges', 'chartres', 'chateauroux', 'amboise', 'ch-teaux-de-la-loire', 'chinon', 'loches', 'sancerre', 'tours', 'vierzon', 'zoo-de-beauval', 'bonneval', 'ch-teaudun', 'dreux', 'epernon', 'gien', 'issoudun', 'le-blanc-parc-naturel-de-la-brenne', 'malesherbes', 'montargis', 'montoire-sur-le-loir', 'nogent-le-rotrou', 'romorantin', 'saint-amand-montrond', 'salbris', 'sully-sur-loire', 'vendome']",Centre,"['orléans', 'blois', 'bourges', 'chartres', 'chateauroux', 'amboise', 'châteaux-de-la-loire', 'chinon', 'loches', 'sancerre', 'tours', 'vierzon', 'le-zoo-de-beauval', 'bonneval', 'châteaudun', 'dreux', 'epernon', 'gien', 'issoudun', 'le-blanc', 'malesherbes', 'montargis', 'montoire-sur-le-loir', 'nogent-le-rotrou', 'romorantin', 'saint-amand-montrond', 'salbris', 'sully-sur-loire', 'vendome']","[(45.4810323, -75.5100002), (47.5876861, 1.3337639), (47.0805693, 2.398932), (48.4438601, 1.4881434), (46.8203785, 1.6770956), (47.4110351, 0.983698), (47.3919819, 0.6871821), (47.1667182, 0.2402095), (47.1281692, 0.9979549), (47.3307251, 2.8390333), (47.3900474, 0.6889268), (47.2217489, 2.0691421), (47.24648705, 1.348101018896584), (48.1821181, 1.3861056), (48.0702298, 1.3284948), (48.7358807, 1.3684254), (48.6101745, 1.677222), (47.6918575, 2.6313889), (46.9477826, 1.9889131), (46.633292, 1.062694), (48.2865494, 2.3972819567297945), (47.9990047, 2.7364119), (47.7527662, 0.8621777), (48.321809, 0.8211488), (47.358297, 1.7449838), (46.7227062, 2.5046503), (47.4263067, 2.0525364), (47.7654098, 2.3738968), (47.7934453, 1.0662256)]"
champagne-ardenne,"['reims', 'chalons-en-champagne-marne', 'charleville-mezieres-ardennes', 'chaumont-haute-marne', 'troyes', 'epernay', 'langres', 'sedan', 'bar-sur-aube', 'fismes', 'fumay', 'givet', 'joinville', 'mourmelon-le-grand', 'nogent-sur-seine', 'nouzonville', 'rethel', 'revin-parc-naturel-des-ardennes', 'romilly-sur-seine', 'saint-dizier', 'sainte-menehould', 'sezanne', 'suippes', 'vitry-le-francois', 'vouziers']",Champagne-Ardenne,"['reims', 'châlons-en-champagne', 'charleville-mézières', 'chaumont', 'troyes', 'épernay', 'langres', 'sedan', 'bar-sur-aube', 'fismes', 'fumay', 'givet', 'joinville', 'mourmelon-le-grand', 'nogent-sur-seine', 'nouzonville', 'rethel', 'revin', 'romilly-sur-seine', 'saint-dizier', 'sainte-menehould', 'sezanne', 'suippes', 'vitry-le-françois', 'vouziers']","[(49.2577886, 4.031926), (48.9566218, 4.3628851), (49.7735712, 4.7206939), (48.1111324, 5.1395849), (48.2971626, 4.0746257), (49.042561, 3.9528655), (47.8655638, 5.3314162), (49.7033759, 4.9433409), (48.2332047, 4.7058337), (49.3072449, 3.6802774), (49.9910213, 4.7052616), (50.1362582, 4.8248698), (48.4426265, 5.1412535), (49.1373278, 4.3660294), (48.492439, 3.4978181), (49.814437, 4.7445678), (49.5091447, 4.3666467), (49.9421221, 4.6374643), (48.5195734, 3.7264161), (48.6371125, 4.9473513), (49.0904192, 4.8967637), (48.7248752, 3.7263127), (49.1308493, 4.531783), (48.7262225, 4.5851622), (49.40228705, 4.723819262037698)]"
corse,"['ajaccio', 'bastia', 'bonifacio', 'calvi', 'porto-vecchio', 'afa', 'aleria', 'cap-corse', 'corte', 'figari', 'ile-rousse', 'moriani-plage', 'ota', 'propriano', 'saint-florent', 'zonza', 'alata', 'brando', 'calenzana', 'cargese', 'furiani', 'ghisonaccia', 'grosseto-prugna', 'linguizzetta', 'morosaglia', 'oletta', 'pietrosella', 'prunelli-di-fiumorbo', 'san-martino-di-lota', 'sari-solenzara', 'sarrola-carcopino', 'sartene', 'ventiseri', 'vescovato']",Corse,"['ajaccio', 'bastia', 'bonifacio', 'calvi', 'porto-vecchio', 'afa', 'aléria', 'cap-corse', 'corte', 'figari', ""l'île-rousse"", 'moriani-plage', 'ota', 'propriano', 'saint-florent', 'zonza', 'alata', 'brando', 'calenzana', 'cargèse', 'furiani', 'ghisonaccia', 'grosseto-prugna', 'linguizzetta', 'morosaglia', 'oletta', 'pietrosella', 'prunelli-di-fiumorbo', 'san-martino-di-lota', 'sari-solenzara', 'sarrola-carcopino', 'sartène', 'ventiseri', 'vescovato']","[(41.9263991, 8.7376029), (42.7065505, 9.452542), (41.3878259, 9.1606179), (42.5638369, 8.7507502), (41.5921091, 9.2761531), (41.9838088, 8.7966629), (42.1135718, 9.5144732), (42.84897375, 9.403240374021145), (42.3052904, 9.1511935), (40.9881678, 9.555784228549339), (42.6344797, 8.9381367), (42.3733641, 9.5302074), (-45.1299859, 169.5248818), (41.6758995, 8.9040385), (42.681295, 9.3024991), (41.7493663, 9.1706374), (41.9768323, 8.7433833), (42.77713115, 9.44667296013463), (42.5083711, 8.8552855), (42.13436, 8.59422), (42.6584811, 9.4151285), (42.0149385, 9.40536), (41.881594050000004, 8.818055732027885), (42.26369, 9.47299), (42.4368399, 9.304545), (42.6320692, 9.3579044), (41.8353888, 8.8459949), (42.0105024, 9.3246227), (42.7363431, 9.4377499), (41.8164422, 9.34513684948039), (41.99819295, 8.831373535819166), (41.6208848, 8.9721882), (41.9431721, 9.3331152), (42.4936573, 9.4387142)]"
franche-comte,"['besancon', 'belfort', 'montbeliard', 'vesoul', 'jura', 'arbois', 'lons-le-saunier', 'morteau', 'pontarlier', 'rousses', 'baume-les-dames', 'champagnole', 'clairvaux-les-lacs', 'dole', 'fougerolles', 'giromagny', 'gray', 'jougne', 'jussey', 'lavans-les-saint-claude', 'longchaumois', 'lure', 'luxeuil-les-bains', 'moirans-en-montagne', 'morez', 'orgelet', 'ornans', 'pont-de-roide-vermondans', 'ronchamp', 'saint-amour', 'saint-claude', 'saint-loup-sur-semouse', 'saint-vit', 'salins-les-bains', 'tavaux', 'valdahon']",Franche-Comté,"['besançon', 'belfort', 'montbéliard', 'vesoul', 'le-jura', 'arbois', 'lons-le-saunier', 'morteau', 'pontarlier', 'les-rousses', 'baume-les-dames', 'champagnole', 'clairvaux-les-lacs', 'dole', 'fougerolles', 'giromagny', 'gray', 'jougne', 'jussey', 'lavans-les-saint-claude', 'longchaumois', 'lure', 'luxeuil-les-bains', 'moirans-en-montagne', 'morez', 'orgelet', 'ornans', 'pont-de-roide-vermondans', 'ronchamp', 'saint-amour', 'saint-claude', 'saint-loup-sur-semouse', 'saint-vit', 'salins-les-bains', 'tavaux', 'valdahon']","[(47.2380222, 6.0243622), (47.6379599, 6.8628942), (47.5102368, 6.7977564), (47.6197395, 6.1544694), (46.783362499999996, 5.783285726354901), (46.9032368, 5.7727084), (46.6739021, 5.5586167), (47.0569367, 6.6047189), (46.9040348, 6.3546345), (46.4925035, 6.0705476), (47.3526707, 6.3614622), (46.7456049, 5.9083581), (46.5740471, 5.7477228), (47.0921047, 5.4925463), (47.902459, 6.416006243289244), (47.7418553, 6.8251787), (47.4455642, 5.5919867), (46.763023, 6.3883634), (47.8251954, 5.9029154), (46.3944397, 5.782259855612941), (46.4614, 5.9317), (47.6863376, 6.4946806), (47.817177, 6.3808865), (46.431063, 5.7255731), (46.5203285, 6.0235486), (46.5205835, 5.6109831), (47.09472425, 6.151746304484529), (47.3864496, 6.7690738), (47.7002959, 6.632869), (46.4358751, 5.3421832), (46.3877989, 5.8641501), (47.8849389, 6.2731365), (47.1811265, 5.8100016), (46.9404794, 5.8786339), (47.0371, 5.40338), (47.1506866, 6.3414396)]"
